parameter,value,success_rate,default_value
obs_noise,0.0,80.30,0.0
obs_noise,0.0,80.30,0.0
seed,0,80.50,0
seed,10,80.30,0
seed,20,81.60,0
seed,30,80.40,0
seed,40,79.00,0
seed,50,80.80,0
seed,60,83.40,0
seed,70,78.90,0
seed,80,79.20,0
seed,90,80.10,0
seed,100,80.00,0
seed,110,81.40,0
seed,120,81.30,0
obs_noise,0.0,80.50,0.0
obs_noise,0.2,80.10,0.0
obs_noise,0.4,79.70,0.0
obs_noise,0.6,78.40,0.0
obs_noise,0.8,74.20,0.0
cable_length,0.3,80.50,0.3
obs_noise,1.0,62.40,0.0
obs_noise,1.2,47.00,0.0
obs_noise,1.4,32.10,0.0
obs_noise,1.6,22.10,0.0
obs_noise,1.8,14.90,0.0
obs_noise,2.0,9.90,0.0
obs_noise,0.0,80.50,0.0
obs_noise,0.8,74.20,0.0
obs_noise,0.6,78.40,0.0
obs_noise,0.4,79.70,0.0
obs_noise,0.2,80.10,0.0
obs_noise,0.1,80.10,0.0
obs_noise,0.9,70.30,0.0
obs_noise,0.3,79.40,0.0
obs_noise,0.5,79.10,0.0
obs_noise,0.7,76.00,0.0
obs_noise,1.0,62.40,0.0
payload_mass,0.01,80.50,0.01
payload_mass,0.012,74.00,0.01
payload_mass,0.011,76.30,0.01
payload_mass,0.013,67.00,0.01
payload_mass,0.016,37.70,0.01
payload_mass,0.014,58.70,0.01
payload_mass,0.018,16.10,0.01
payload_mass,0.015,48.40,0.01
payload_mass,0.017,26.40,0.01
payload_mass,0.02,4.10,0.01
payload_mass,0.019,8.40,0.01
payload_mass,0.009,82.40,0.01
payload_mass,0.008,83.80,0.01
payload_mass,0.007,85.40,0.01
payload_mass,0.005,87.90,0.01
payload_mass,0.003,89.50,0.01
payload_mass,0.002,90.10,0.01
payload_mass,0.004,88.60,0.01
payload_mass,0.006,87.10,0.01
cable_length,0.3,80.50,0.3
payload_mass,0.001,89.80,0.01
cable_length,0.31,82.70,0.3
cable_length,0.32,83.10,0.3
cable_length,0.33,83.90,0.3
cable_length,0.34,84.60,0.3
cable_length,0.38,86.70,0.3
cable_length,0.36,85.90,0.3
cable_length,0.37,86.10,0.3
cable_length,0.35,85.00,0.3
cable_length,0.39,87.10,0.3
cable_length,0.29,76.50,0.3
cable_length,0.4,86.90,0.3
cable_length,0.27,66.10,0.3
cable_length,0.28,73.60,0.3
cable_length,0.26,51.30,0.3
cable_length,0.23,6.10,0.3
cable_length,0.22,1.60,0.3
cable_length,0.24,16.30,0.3
cable_length,0.25,31.00,0.3
act_noise,0.0,80.50,0.0
cable_length,0.21,0.30,0.3
cable_length,0.2,0.00,0.3
act_noise,0.1,80.50,0.0
act_noise,0.2,80.50,0.0
act_noise,0.3,80.50,0.0
act_noise,0.4,80.50,0.0
act_noise,0.5,80.50,0.0
act_noise,0.6,80.50,0.0
act_noise,0.7,80.50,0.0
act_noise,0.9,80.50,0.0
act_noise,0.8,80.50,0.0
act_noise,1.0,80.50,0.0
cable_length,0.55,87.30,0.3
cable_length,0.65,86.60,0.3
obs_noise,3.5,7.10,0.0
cable_length,0.5,87.60,0.3
cable_length,0.6,86.90,0.3
cable_length,0.7,86.20,0.3
obs_noise,2.5,6.30,0.0
obs_noise,3.0,7.50,0.0
cable_length,0.45,86.80,0.3
obs_noise,4.0,8.00,0.0
payload_mass,0.024,0.10,0.01
cable_length,0.8,83.30,0.3
cable_length,0.9,80.30,0.3
payload_mass,0.023,0.10,0.01
cable_length,0.75,85.00,0.3
payload_mass,0.022,0.50,0.01
cable_length,0.85,81.80,0.3
cable_length,1.0,74.70,0.3
payload_mass,0.021,2.20,0.01
payload_mass,0.025,0.00,0.01
payload_mass,0.026,0.00,0.01
payload_mass,0.029,0.00,0.01
payload_mass,0.027,0.00,0.01
payload_mass,0.028,0.00,0.01
payload_mass,0.03,0.00,0.01
cable_length,1.3,37.50,0.3
cable_length,1.2,51.00,0.3
cable_length,2.0,0.90,0.3
cable_length,1.1,64.60,0.3
cable_length,1.9,2.10,0.3
cable_length,1.8,2.90,0.3
cable_length,1.6,9.00,0.3
cable_length,1.4,26.50,0.3
cable_length,1.5,15.90,0.3
cable_length,1.7,4.80,0.3
